"inclusionsuggestion","ID","partner_interaction","other_interaction","other_relationship","no_interaction","A_relevance1","A_relevance2","A_benefitself","A_benefitpartner","A_goal1","A_goal2","A_goal3","A_goal4","A_goal5","A_goal6","A_goal7","A_goal8","A_truth1","A_truth2","A_truth2R","A_truth3","A_truth3R","A_statehonesty","honestyhumility","agreeableness","duration_months","genmoral","truthcom","emconcern","persdistress","satisfaction","intimacy","trust","IOIS","B_relevance1","B_relevance2","B_benefitself","B_benefitother","B_goal1","B_goal2","B_goal3","B_goal4","B_goal5","B_goal6","B_goal7","B_goal8","B_truth1","B_truth2","B_truth3","C_relevance1","C_relevance2","C_benefitself","C_benefitother","C_goal1","C_goal2","C_goal3","C_goal4","C_goal5","C_goal6","C_goal7","C_goal8","C_cons1","C_conc2","C_conc3","Q20_DO_1","Q20_DO_2","Q20_DO_3","Q20_DO_4","Q20_DO_5","Q20_DO_6","Q20_DO_7","Q20_DO_8","Q21_DO_1","Q21_DO_2","Q21_DO_3","Q21_DO_4","Q21_DO_5","Q21_DO_6","Q21_DO_7","Q21_DO_8","Q22_DO_1","Q22_DO_2","Q22_DO_3","Q22_DO_4","Q22_DO_5","Q22_DO_6","Q22_DO_7","Q22_DO_8","withdrew","numones","numtwos","numthrees","numfours","numfives","excluded","practice","wrongtime","tooclose","toofast","tooindetical","toofew","validID","N_BREAK"
0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,8,4,1,3,2,7,6,5,0,11,3,1,0,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,2,1,1,1,1,1,1,1,2,2,5,1,4,1,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,8,4,2,7,3,,,,,,,,,,,,,,,,,0,10,3,0,1,1,0,1,0,0,0,0,0,1,18
0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,2,1,1,3,4,1,,,,,,,,,,,,,,,,,3,2,1,7,8,5,4,6,0,10,3,1,1,0,0,1,0,0,0,0,0,1,18
0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,5,4,1,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,3,7,1,8,4,,,,,,,,,0,9,2,0,2,2,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,2,1,1,4,1,1,1,3,4,1,4,2,3,1,4,3.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,4,5,2,7,8,,,,,,,,,,,,,,,,,0,9,2,1,3,0,0,1,0,0,0,0,0,1,18
0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,3,1,1,1,1,1,1,3,4,2,,,,,,,,,,,,,,,,,5,8,3,6,2,1,4,7,0,9,3,2,1,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,3,1,3,4,1,2,1,3,5,1,3,1,4,1,4,3.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,3,5,6,1,4,8,,,,,,,,,,,,,,,,,0,8,1,4,1,1,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,-99,1,1,2,2,1,2,1,1,5,1,4,1,4,2,3,3.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,7,8,2,6,1,4,,,,,,,,,,,,,,,,,0,8,4,0,1,1,0,1,0,0,0,0,0,1,18
0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,3,1,1,1,4,1,2,3,3,,,,,,,,,,,,,,,,,1,6,3,8,2,4,5,7,0,8,2,3,2,0,0,1,0,0,0,0,0,1,18
0,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,1,2,1,1,1,3,1,3,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,2,5,6,3,8,,,,,,,,,0,8,3,2,2,0,0,1,0,0,0,0,0,1,18
0,0,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,2,1,1,3,1,3,1,2,1,3,,,,,,,,,,,,,,,,,4,1,2,7,5,3,6,8,0,8,3,4,0,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,3,1,4,3,1,2,1,2,3,1,4,1,4,2,3,3.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,8,3,1,4,2,,,,,,,,,,,,,,,,,0,7,3,3,2,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,2,1,2,4,1,2,1,3,4,1,3,1,4,2,3,3.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,1,8,7,3,5,,,,,,,,,,,,,,,,,0,7,4,2,2,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,4,1,3,4,1,1,2,3,4,2,3,1,4,2,3,3.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,7,3,8,1,4,,,,,,,,,,,,,,,,,0,6,3,3,3,0,0,1,0,0,0,0,0,1,18
0,0,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,2,2,1,2,1,1,1,3,3,1,,,,,,,,,,,,,,,,,5,1,8,3,2,7,4,6,0,6,5,2,0,0,0,1,0,0,0,0,0,1,18
0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,2,4,2,5,5,1,5,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,7,4,1,6,5,2,8,3,,,,,,,,,0,5,4,0,2,4,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,3,3,3,1,1,2,1,4,4,2,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,4,1,2,3,5,7,,,,,,,,,,,,,,,,,0,5,4,4,2,0,0,1,0,0,0,0,0,1,18
0,0,1,,,,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,4,3,5,2,6,,,,,,,,,,,,,,,,,0,3,1,0,0,0,0,1,0,0,0,0,0,1,18
0,10,1,,,,1,1,1,1,1,1,1,1,1,3,5,1,4,1,4,1,4,4,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,8,4,7,6,1,,,,,,,,,,,,,,,,,0,12,0,1,1,1,0,0,0,0,0,0,0,0,20
0,10,1,,,,1,2,1,1,1,1,1,1,1,1,4,1,4,1,4,1,4,4,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,5,7,8,6,,,,,,,,,,,,,,,,,0,12,1,0,2,0,0,0,0,0,0,0,0,0,20
0,10,2,2,,2,,,,,,,,,,,,,,,,,,,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,2,7,1,3,5,8,6,4,0,12,3,0,0,0,0,0,0,0,0,0,0,0,20
0,10,1,,,,1,1,1,3,1,1,1,1,1,5,4,1,4,1,4,1,4,4,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,3,5,4,8,6,,,,,,,,,,,,,,,,,0,11,0,1,2,1,0,0,0,0,0,0,0,0,20
0,10,2,1,2,,,,,,,,,,,,,,,,,,,,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,2,1,1,1,1,1,1,1,1,3,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,7,3,8,6,,,,,,,,,0,11,1,1,1,1,0,0,0,0,0,0,0,0,20
0,10,2,1,2,,,,,,,,,,,,,,,,,,,,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,1,1,2,1,1,1,1,1,1,3,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,8,3,2,1,6,5,7,4,,,,,,,,,0,11,1,1,1,1,0,0,0,0,0,0,0,0,20
0,10,1,,,,1,1,1,3,1,1,1,1,1,4,4,1,4,1,4,1,4,4,4,3.1,24,3.5,3.8,4.42857142857143,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,1,7,3,8,4,,,,,,,,,,,,,,,,,0,11,0,1,3,0,0,0,0,0,0,0,0,0,20
